    ,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
110,"135,6569871","138,67886836","141,82006186","145,0805676","148,46038558","151,9595158","155,57795826","159,31571296","163,1727799","167,14915908","171,2448505","175,45985416","179,79417006",,,,,,,,,,,,,,,,,,
108,"129,75065772","132,46266734","135,2872852","138,2245113","141,27434564","144,43678822","147,71183904","151,0994981","154,5997654","158,21264094","161,93812472","165,77621674","169,726917","173,7902255","177,96614224","182,25466722",,,,,,,,,,,,,,,
106,"124,1573505","126,57653744","129,10150126","131,73224196","134,46875954","137,311054","140,25912534","143,31297356","146,47259866","149,73800064","153,1091795","156,58613524","160,16886786","163,85737736","167,65166374","171,551727","175,55756714","179,66918416",,,,,,,,,,,,,
104,"118,87706544","121,02047866","123,26271004","125,60375958","128,04362728","130,58231314","133,21981716","135,95613934","138,79127968","141,72523818","144,75801484","147,88960966","151,12002264","154,44925378","157,87730308","161,40417054","165,02985616","168,75435994","172,57768188","176,49982198","180,52078024",,,,,,,,,,
102,"113,90980254","115,794491","117,77091154","119,83906416","121,99894886","124,25056564","126,5939145","129,02899544","131,55580846","134,17435356","136,88463074","139,68664","142,58038134","145,56585476","148,64306026","151,81199784","155,0726675","158,42506924","161,86920306","165,40506896","169,03266694","172,751997","176,56305914","180,46585336",,,,,,,
100,"109,2555618","110,89857446","112,62610576","114,4381557","116,33472428","118,3158115","120,38141736","122,53154186","124,766185","127,08534678","129,4890272","131,97722626","134,54994396","137,2071803","139,94893528","142,7752089","145,68600116","148,68131206","151,7611416","154,92548978","158,1743566","161,50774206","164,92564616","168,4280689","172,01501028","175,6864703","179,44244896","183,28294626",,,
98,"104,91434322","106,33272904","107,8282927","109,4010342","111,05095354","112,77805072","114,58232574","116,4637786","118,4224093","120,45821784","122,57120422","124,76136844","127,0287105","129,3732304","131,79492814","134,29380372","136,86985714","139,5230884","142,2534975","145,06108444","147,94584922","150,90779184","153,9469123","157,0632106","160,25668674","163,52734072","166,87517254","170,3001822","173,8023697","177,38173504","181,03827822"
96,"100,8861468","102,09695474","103,37747236","104,72769966","106,14763664","107,6372833","109,19663964","110,82570566","112,52448136","114,29296674","116,1311618","118,03906654","120,01668096","122,06400506","124,18103884","126,3677823","128,62423544","130,95039826","133,34627076","135,81185294","138,3471448","140,952146340001","143,62685756","146,37127846","149,18540904","152,0692493","155,02279924","158,04605886","161,13902816","164,301707140001","167,5340958"
94,"97,1709725400002","98,1912515600001","99,2736447400001","100,41815208","101,62477358","102,89350924","104,22435906","105,61732304","107,07240118","108,58959348","110,16889994","111,81032056","113,51385534","115,27950428","117,10726738","118,99714464","120,94913606","122,96324164","125,03946138","127,17779528","129,378243340001","131,64080556","133,96548194","136,35227248","138,80117718","141,31219604","143,88532906","146,52057624","149,21793758","151,97741308","154,79900274"
92,"93,7688204400002","94,6156195000001","95,5168098400001","96,4723914600003","97,4823643600002","98,5467285400002","99,6654840000002","100,83863074","102,06616876","103,34809806","104,68441864","106,0751305","107,52023364","109,01972806","110,57361376","112,18189074","113,844559","115,56161854","117,33306936","119,15891146","121,03914484","122,9737695","124,96278544","127,00619266","129,10399116","131,25618094","133,462762000001","135,72373434","138,03909796","140,40885286","142,83299904"
90,"90,6796905000001","91,3700585600002","92,1069676600001","92,8904178000002","93,7204089800002","94,5969412000001","95,5200144600003","96,48962876","97,5057841000001","98,5684804800001","99,6777179000001","100,83349636","102,03581586","103,2846764","104,58007798","105,9220206","107,31050426","108,74552896","110,2270947","111,75520148","113,3298493","114,95103816","116,61876806","118,333039","120,09385098","121,901204","123,75509806","125,65553316","127,6025093","129,59602648","131,6360847"
88,"87,9035827200001","88,4545687400001","89,0441182000001","89,6722311000002","90,3389074400001","91,04414722","91,7879504400001","92,5703171000001","93,3912472","94,25074074","95,1487977200002","96,0854181400003","97,0606020000001","98,0743493","99,12666004","100,21753422","101,34697184","102,5149729","103,7215374","104,96666534","106,25035672","107,57261154","108,9334298","110,3328115","111,77075664","113,24726522","114,76233724","116,315972700001","117,9081716","119,53893394","121,20825972"
86,"85,4404970999999","85,86915004","86,32826146","86,8178313599999","87,33785974","87,8883465999999","88,4692919400001","89,0806957599999","89,7225580599999","90,39487884","91,0976581","91,8308958400001","92,59459206","93,3887467599999","94,2133599399999","95,0684315999998","95,9539617400002","96,86995036","97,8163974600001","98,7933030399999","99,8006670999999","100,83848964","101,90677066","103,02551016","104,19470814","105,3943646","106,62447954","107,88505296","109,17608486","110,49757524","111,8495241"
84,"83,29043364","83,6138024600001","83,9593974400001","84,32721858","84,7172658800001","85,1295393400001","85,5640389600001","86,02076474","86,4997166799999","87,0008947800002","87,5242990400001","88,0699294600002","88,63778604","89,22786878","89,84017768","90,4747127399999","91,1314739600001","91,81046134","92,51167488","93,2351145800001","93,98078044","94,74867246","95,5387906400002","96,41113498","97,3657054800001","98,3425021399999","99,3415249599999","100,36277394","101,40624908","102,47195038","103,55987784"
82,"81,45339234","81,688526","81,93752614","82,20039276","82,4771258600001","82,76772544","83,0721915","83,3905240399999","83,7227230599999","84,0687885600001","84,42872054","84,8025190000001","85,1901839400001","85,5917153599999","86,00711326","86,4363776399999","86,8795085000003","87,33650584","87,8073696600001","88,2920999600001","88,79069674","89,3031600000001","89,8294897400002","90,4696859600001","91,2237486600003","91,9916778399999","92,7734735000002","93,5691356399999","94,3786642600003","95,2020593599999","96,0393209399999"
80,"79,58","79,674","79,768","79,862","79,956","80,8029049000001","80,9937495600001","81,18997366","81,3915772","81,5985601800002","81,8109226000001","82,0286644600002","82,2517857600001","82,4802865000001","82,71416668","82,9534262999999","83,1980653600002","83,4480838600001","83,7034818000002","83,9642591800001","84,230416","84,5019522600001","84,7788679600001","85,2011631000001","85,7688376800003","86,3418916999999","86,9203251600002","87,5041380600001","88,0933304000002","88,6879021800001","89,2878534"
78,"77,38","77,474","77,568","77,662","77,756","77,85","77,944","78,038","78,132","78,226","78,32","78,414","78,508","78,602","78,696","78,79","78,884","78,978","79,072","79,166","79,26","79,354","79,448","79,542","79,636","79,73","79,824","79,918","80,012","80,106","80,2"
76,"75,18","75,274","75,368","75,462","75,556","75,65","75,744","75,838","75,932","76,026","76,12","76,214","76,308","76,402","76,496","76,59","76,684","76,778","76,872","76,966","77,06","77,154","77,248","77,342","77,436","77,53","77,624","77,718","77,812","77,906",78
